

gen best mean std
0 48.013548 -3.005086 9.986759
1 48.013548 0.445284 13.828478
2 48.108356 5.574822 16.847252
3 48.108356 14.792478 18.155437
4 48.2699 25.62402 15.824271
5 48.2699 29.39648 12.7021
6 66.2699 34.404391 11.216547
7 75.013548 35.949085 11.571594
8 75.013548 37.907508 11.132737
9 75.013548 38.43087 12.534941
10 75.013548 40.038214 11.394107
11 94.852506 40.793986 12.947121
12 94.852506 40.438677 12.691183
13 94.852506 41.075981 12.926318
14 94.852506 40.274565 14.176651
15 94.852506 40.348599 13.131153
16 94.852506 41.542441 12.816542

gen best mean std
16 94.852506 41.542441 12.816542
17 94.852506 39.607084 16.553499
18 94.852506 40.151111 16.52294
19 94.852506 38.289271 16.729042
20 94.852506 38.453324 16.842769
21 94.852506 39.468802 17.862655
22 94.852506 40.018638 18.267991
23 94.852506 41.066077 16.295947
24 94.852506 41.403464 15.217
25 94.852506 41.693922 16.533995
26 94.918596 43.058353 16.362025
27 94.918596 43.794453 17.100422
28 94.918596 42.833503 19.092972
29 94.918596 43.181393 19.372705
