Run,gain,Best fit,Mean,STD
['Test 0 - Gen 0'],-50.0,39.26665872310225,12.854379922831756,12.35657866178287
['Test 0 - Gen 1'],-40.0,48.26342770252081,12.407901967207694,13.58786097051193
['Test 0 - Gen 2'],-40.0,48.26342770252081,13.933079465013417,14.214471180441397
['Test 0 - Gen 3'],-40.0,48.26342770252081,13.125557164453351,14.428716641778648
['Test 0 - Gen 4'],-40.0,48.26342770252081,12.051745559410596,13.477657485465002
['Test 0 - Gen 5'],-40.0,48.26342770252081,14.207703512643441,14.381591258837949
['Test 0 - Gen 6'],-40.0,48.26342770252081,12.132454492287586,14.096873732683502
['Test 0 - Gen 7'],-40.0,48.26342770252081,12.766930708133884,13.645655932216734
['Test 0 - Gen 8'],-40.0,48.26342770252081,14.568380894557405,14.155794987744299
['Test 0 - Gen 9'],-40.0,48.26342770252081,13.403615376682799,14.883090988677148
['Test 0 - Gen 10'],-40.0,48.26342770252081,13.66722847641754,14.27728600858395
['Test 0 - Gen 11'],-40.0,48.26342770252081,12.044233715958871,14.233431675564017
['Test 0 - Gen 12'],-40.0,48.26342770252081,13.756285738499626,14.407115510722372
['Test 0 - Gen 13'],-40.0,48.26342770252081,13.217509707831084,14.677380170558704
['Test 0 - Gen 14'],-40.0,48.26342770252081,14.565951005961105,13.981346985078458
['Test 1 - Gen 0'],-30.0,57.23167900420623,10.599423917416727,12.686441666315892
['Test 1 - Gen 1'],-30.0,57.23167900420623,12.584247413269598,13.345166987369534
['Test 1 - Gen 2'],-30.0,57.23167900420623,14.387837814483994,13.11074775554815
['Test 1 - Gen 3'],-30.0,57.23167900420623,14.474214639892635,13.612349809013928
['Test 1 - Gen 4'],-30.0,57.23167900420623,14.92622335887885,14.483641299145585
['Test 1 - Gen 5'],-30.0,57.23167900420623,15.199599226153794,13.711723311298668
['Test 1 - Gen 6'],-30.0,57.23167900420623,13.569192106078043,14.540335841682936
['Test 1 - Gen 7'],-30.0,57.23167900420623,12.944746972151501,14.662183512480908
['Test 1 - Gen 8'],-30.0,57.23167900420623,13.932636627723777,14.83053897904407
['Test 1 - Gen 9'],-30.0,57.23167900420623,15.007713516727929,14.661819426504847
['Test 1 - Gen 10'],-30.0,57.23167900420623,11.953589122949676,14.08939865611372
['Test 1 - Gen 11'],-30.0,57.23167900420623,11.506524285265847,13.751614739766973
['Test 1 - Gen 12'],-30.0,57.23167900420623,11.870481157774414,14.398613357523427
['Test 1 - Gen 13'],-30.0,57.23167900420623,14.927177767620362,14.600159932379563
['Test 1 - Gen 14'],-30.0,57.23167900420623,13.133106364272072,14.54583142589213
['Test 2 - Gen 0'],-40.0,48.23794861721982,12.037673357276205,12.98106256986907
['Test 2 - Gen 1'],-40.0,48.23794861721982,13.216404614360433,12.65465730746803
['Test 2 - Gen 2'],-40.0,48.23794861721982,12.855656034547808,13.666645568464032
['Test 2 - Gen 3'],-40.0,48.23794861721982,14.476574647278817,14.257191318341635
['Test 2 - Gen 4'],-40.0,48.23794861721982,12.767158279144683,13.754073261781592
['Test 2 - Gen 5'],-40.0,48.23794861721982,15.108006715001736,14.781587341470342
['Test 2 - Gen 6'],-30.0,57.26342770252081,15.010018523521891,15.04106630196653
['Test 2 - Gen 7'],-30.0,57.26342770252081,14.834290914931728,14.860483286150732
['Test 2 - Gen 8'],-30.0,57.26342770252081,12.761956554685954,15.834042376382225
['Test 2 - Gen 9'],-30.0,57.26342770252081,13.579588671289317,14.91775186905087
['Test 2 - Gen 10'],-30.0,57.26342770252081,13.208008341125373,15.328229899132982
['Test 2 - Gen 11'],-30.0,57.26342770252081,13.392428013581709,15.04186051419367
['Test 2 - Gen 12'],-30.0,57.26342770252081,14.021718150926905,15.534701973001075
['Test 2 - Gen 13'],-30.0,57.26342770252081,12.947193123444832,15.675772621411463
['Test 2 - Gen 14'],-30.0,57.26342770252081,14.470740469636747,15.450014079131074
['Test 3 - Gen 0'],-50.0,39.23794861721982,10.688680390388575,11.599081819224182
['Test 3 - Gen 1'],-50.0,39.256996812190515,13.127770305930312,11.832526667424935
['Test 3 - Gen 2'],-50.0,39.26020708782077,12.584757017105526,12.073297857221709
['Test 3 - Gen 3'],-50.0,39.26020708782077,12.767646424756858,13.029742624391945
['Test 3 - Gen 4'],-50.0,39.27968822339259,10.694042348618055,13.480284892803965
['Test 3 - Gen 5'],-50.0,39.27968822339259,12.76871282670696,13.339235575445041
['Test 3 - Gen 6'],-50.0,39.27968822339259,12.941602301511303,13.812027210747118
['Test 3 - Gen 7'],-50.0,39.27968822339259,13.943473545234124,13.333363272663687
['Test 3 - Gen 8'],-50.0,39.27968822339259,14.926656533296866,12.82201117044775
['Test 3 - Gen 9'],-50.0,39.27968822339259,12.32105293311126,13.076748265909856
['Test 3 - Gen 10'],-40.0,48.25060701409175,13.48704490326007,13.949587623811164
['Test 3 - Gen 11'],-30.0,57.20698639161586,14.027548496789986,13.943392539058042
['Test 3 - Gen 12'],-30.0,57.20698639161586,12.49156963893848,15.087934449207259
['Test 3 - Gen 13'],-30.0,57.20698639161586,15.82270584874519,14.95295255864969
['Test 3 - Gen 14'],-30.0,57.20698639161586,14.202114973629577,15.142698867328257
['Test 4 - Gen 0'],-40.0,48.25060701409175,13.21872068687524,12.401665928601615
['Test 4 - Gen 1'],-40.0,48.25060701409175,13.393722120462687,13.331683250235836
['Test 4 - Gen 2'],-40.0,48.26020708782077,14.747502090863438,14.294144548284304
['Test 4 - Gen 3'],-40.0,48.26020708782077,14.297584424249413,13.100501011287658
['Test 4 - Gen 4'],-40.0,48.26020708782077,13.750350074223151,14.239929819599098
['Test 4 - Gen 5'],-40.0,48.26020708782077,14.20332474703793,15.575309689532816
['Test 4 - Gen 6'],-40.0,48.26020708782077,10.96723646612818,15.543956671304457
['Test 4 - Gen 7'],-40.0,48.26020708782077,13.672570081384972,14.557122566311591
['Test 4 - Gen 8'],-40.0,48.26020708782077,12.589931164456477,14.78801676388716
['Test 4 - Gen 9'],-40.0,48.26020708782077,14.656403888415138,14.400419054795723
['Test 4 - Gen 10'],-40.0,48.26020708782077,15.550009483198176,14.097875925742757
['Test 4 - Gen 11'],-40.0,48.26020708782077,13.309145605051508,15.134373662538389
['Test 4 - Gen 12'],-40.0,48.26020708782077,12.318377104112342,15.088044555503785
['Test 4 - Gen 13'],-30.0,57.19788162462294,13.391435591386683,15.420351424234228
['Test 4 - Gen 14'],-30.0,57.19788162462294,13.575769568830212,15.192302061157617
